EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,
NSE,E,1,INE405Y01021,EQUITY,,GOLDSTAR,GOLDSTAR POWER LIMITED,Goldstar Power,ES,SM,11250.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,100,INE885A01032,EQUITY,,ARE&M,AMARA RAJA ENERGY MOB LTD,Amara Raja Energy & Mobility,ES,EQ,1.0,,,,5.0000,NA,Y,Y,N,NA,A,20.00,20.00,16.00,16.00,0.25,0.25,20.00,20.00,16.00,16.00,0.25,0.25,99.99,99.99,0.25,0.25,3.042288,
NSE,E,1000,IN2220200306,EQUITY,,656MH32,SDL MH 6.56% 2032,SDL MH 6.56% 2032,DBT,SG,100.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,1001,INE721A07NX5,EQUITY,,94SFL28,SEC RED NCD 9.40% SR. V,SEC RED NCD 9.40% SR. V,DEB,YL,1.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,1004,IN1020200466,EQUITY,,679AP34,SDL AP 6.79% 2034,SDL AP 6.79% 2034,DBT,SG,100.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,10046,IN0020190065,EQUITY,,757GS2033,GOI LOAN 7.57% 2033,GOI LOAN 7.57% 2033,DBT,GS,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,10051,INF200KA1F35,EQUITY,,SFMP6DD,SBIAMC - SFMP6DD,SBIAMC - SFMP6DD,MF,MF,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,10052,INF200KA1F19,EQUITY,,SFMP6DR,SBIAMC - SFMP6DR,SBIAMC - SFMP6DR,MF,MF,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,10055,INF200KA1F27,EQUITY,,SFMP6GD,SBIAMC - SFMP6GD,SBIAMC - SFMP6GD,MF,MF,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,1006,IN1920200384,EQUITY,,675KA35,SDL KA 6.75% 2035,SDL KA 6.75% 2035,DBT,SG,100.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,10060,INF200KA1F01,EQUITY,,SFMP6GR,SBIAMC - SFMP6GR,SBIAMC - SFMP6GR,MF,MF,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,1007,IN2820200144,EQUITY,,679PN35,SDL PN 6.79% 2035,SDL PN 6.79% 2035,DBT,SG,100.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,10074,INE830C01026,EQUITY,,EMAMIPAP,EMAMI PAPER MILLS LIMITED,Emami Paper Mills,ES,EQ,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,1008,INE188A01015,EQUITY,,FACT,FACT LTD,Fertilisers & Chemical Travancore,ES,EQ,1.0,,,,5.0000,NA,Y,Y,N,NA,A,20.00,20.00,16.00,16.00,0.25,0.25,20.00,20.00,16.00,16.00,0.25,0.25,99.99,99.99,0.25,0.25,2.000000,
